Date,amzn,tsla
2023-04-24,106.209999,162.550003
2023-04-25,102.57,160.669998
2023-04-26,104.980003,153.75
2023-04-27,109.82,160.190002
2023-04-28,105.449997,164.309998
2023-05-01,102.050003,161.830002
2023-05-02,103.629997,160.309998
2023-05-03,103.650002,160.610001
2023-05-04,104.0,161.199997
2023-05-05,105.660004,170.059998
2023-05-08,105.830002,171.789993
2023-05-09,106.620003,169.149994
2023-05-10,110.190002,168.539993
2023-05-11,112.18,172.080002
2023-05-12,110.260002,167.979996
2023-05-15,111.199997,166.350006
2023-05-16,113.400002,166.520004
2023-05-17,115.5,173.860001
2023-05-18,118.150002,176.889999
2023-05-19,116.25,180.139999
2023-05-22,115.010002,188.869995
2023-05-23,114.989998,185.770004
2023-05-24,116.75,182.899994
2023-05-25,115.0,184.470001
2023-05-26,120.110001,193.169998
2023-05-30,121.660004,201.160004
2023-05-31,120.580002,203.929993
2023-06-01,122.769997,207.520004
2023-06-02,124.25,213.970001
2023-06-05,125.300003,217.610001
2023-06-06,126.610001,221.309998
2023-06-07,121.230003,224.570007
2023-06-08,124.25,234.860001
2023-06-09,123.43,244.399994
2023-06-12,126.57,249.830002
2023-06-13,126.660004,258.709991
2023-06-14,126.419998,256.790009
2023-06-15,127.110001,255.899994
2023-06-16,125.489998,260.540009
2023-06-20,125.779999,274.450012
2023-06-21,124.830002,259.459991
2023-06-22,130.149994,264.609985
2023-06-23,129.330002,256.600006
2023-06-26,127.330002,241.050003
2023-06-27,129.179993,250.210007
2023-06-28,129.039993,256.23999
2023-06-29,127.900002,257.5
2023-06-30,130.360001,261.769989
2023-07-03,130.220001,279.820007
2023-07-05,130.380005,282.480011
2023-07-06,128.360001,276.540009
2023-07-07,129.779999,274.429993
2023-07-10,127.129997,269.609985
2023-07-11,128.779999,269.790009
2023-07-12,130.800003,271.98999
2023-07-13,134.300003,277.899994
2023-07-14,134.679993,281.380005
2023-07-17,133.559998,290.380005
2023-07-18,132.830002,293.339996
2023-07-19,135.360001,291.26001
2023-07-20,129.960007,262.899994
2023-07-21,130.0,260.019989
2023-07-24,128.800003,269.059998
2023-07-25,129.130005,265.279999
2023-07-26,128.149994,264.350006
2023-07-27,128.25,255.710007
2023-07-28,132.210007,266.440002
2023-07-31,133.679993,267.429993
2023-08-01,131.690002,261.070007
2023-08-02,128.210007,254.110001
2023-08-03,128.910004,259.320007
2023-08-04,139.570007,253.860001
2023-08-07,142.220001,251.449997
2023-08-08,139.940002,249.699997
2023-08-09,137.850006,242.190002
2023-08-10,138.559998,245.339996
2023-08-11,138.410004,242.649994
2023-08-14,140.570007,239.759995
2023-08-15,137.669998,232.960007
2023-08-16,135.070007,225.600006
2023-08-17,133.979996,219.220001
2023-08-18,133.220001,215.490005
2023-08-21,134.679993,231.279999
2023-08-22,134.25,233.190002
2023-08-23,135.520004,236.860001
2023-08-24,131.839996,230.039993
2023-08-25,133.259995,238.589996
2023-08-28,133.139999,238.820007
2023-08-29,134.910004,257.179993
2023-08-30,135.070007,256.899994
2023-08-31,138.009995,258.079987
2023-09-01,138.119995,245.009995
2023-09-05,137.270004,256.48999
2023-09-06,135.360001,251.919998
2023-09-07,137.850006,251.490005
2023-09-08,138.229996,248.5
2023-09-11,143.100006,273.579987
2023-09-12,141.229996,267.480011
2023-09-13,144.850006,271.299988
2023-09-14,144.720001,276.040009
2023-09-15,140.389999,274.390015
2023-09-18,139.979996,265.279999
2023-09-19,137.630005,266.5
2023-09-20,135.289993,262.589996
2023-09-21,129.330002,255.699997
2023-09-22,129.119995,244.880005
2023-09-25,131.270004,246.990005
2023-09-26,125.980003,244.119995
2023-09-27,125.980003,240.5
2023-09-28,125.980003,246.380005
2023-09-29,127.120003,250.220001
2023-10-02,129.460007,251.600006
2023-10-03,124.720001,246.529999
2023-10-04,127.0,261.160004
2023-10-05,125.959999,260.049988
2023-10-06,127.959999,260.529999
2023-10-09,128.259995,259.670013
2023-10-10,129.479996,263.619995
2023-10-11,131.830002,262.98999
2023-10-12,132.330002,258.869995
2023-10-13,129.789993,251.119995
2023-10-16,132.550003,253.919998
2023-10-17,131.470001,254.850006
2023-10-18,128.130005,242.679993
2023-10-19,128.399994,220.110001
2023-10-20,125.169998,211.990005
2023-10-23,126.559998,212.080002
2023-10-24,128.559998,216.520004
2023-10-25,121.389999,212.419998
2023-10-26,119.57,205.759995
2023-10-27,127.739998,207.300003
2023-10-30,132.710007,197.360001
2023-10-31,133.089996,200.839996
2023-11-01,137.0,205.660004
2023-11-02,138.070007,218.509995
2023-11-03,138.600006,219.960007
